Job ID,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,13.0,6.1,0.0,"1,2,3,4,5,6,7",
1,9.9,0.4,4.0,"1,2,3,4,5,6,7","2,3,4,7"
2,10.1,6.1,0.0,"1,2,3,4,5,6,7",
3,7.3,0.8,0.0,"1,2,3,4,5,6,7",
4,11.1,1.3,2.9000000000000004,"1,2,3,4,5,6,7","2,3,4,7"
5,15.1,1.2,6.300000000000001,"1,2,3,4,5,6,7","2,3,4,7"
6,10.7,3.5,4.9,"1,2,3,4,5,6,7","2,3,4,7"
7,7.1,5.4,0.0,"1,2,3,4,5,6,7",
8,7.1,5.1,0.0,"1,2,3,4,5,6,7",
9,7.7,4.3,2.5,"1,2,3,4,5,6,7","2,3,4,7"
10,11.2,6.6,0.6000000000000001,"1,2,3,4,5,6,7","2,3,4,7"
11,4.4,1.5,0.5,"1,2,3,4,5,6,7","2,3,4,7"
12,17.5,4.9,1.1,"1,2,3,4,5,6,7","2,3,4,7"
13,3.6,3.4,0.0,"1,2,3,4,5,6,7",
14,9.1,3.9,6.1,"1,2,3,4,5,6,7","2,3,4,7"
15,18.4,2.6,8.4,"1,2,3,4,5,6,7","2,3,4,7"
16,10.6,6.9,0.0,"1,2,3,4,5,6,7",
17,10.7,4.8,5.3,"1,2,3,4,5,6,7","2,3,4,7"
18,24.0,8.9,6.699999999999999,"1,2,3,4,5,6,7","2,3,4,7"
19,7.1,5.1,0.2999999999999998,"1,2,3,4,5,6,7","2,3,4,7"
20,24.0,9.8,9.6,"1,2,3,4,5,6,7","2,3,4,7"
21,1.3,0.4,3.0,"1,2,3,4,5,6,7","2,3,4,7"
22,12.9,9.8,1.7000000000000002,"1,2,3,4,5,6,7","2,3,4,7"
23,8.9,2.7,2.5,"1,2,3,4,5,6,7","2,3,4,7"
24,22.0,4.2,6.800000000000001,"1,2,3,4,5,6,7","2,3,4,7"
25,5.2,5.6,0.0,"1,2,3,4,5,6,7",
26,19.1,9.3,3.4000000000000004,"1,2,3,4,5,6,7","2,3,4,7"
27,11.3,6.9,5.7,"1,2,3,4,5,6,7","2,3,4,7"
