,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,13.8,6.8,0.0,"1,2,3,4,5,6,7,8,9,",
1,14.6,2.4,8.3,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
2,21.2,8.8,3.7,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
3,15.2,7.2,3.3,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
4,15.1,3.4,8.5,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
5,14.8,6.0,2.3,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
6,24.0,7.3,6.6,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
7,11.9,2.1,6.300000000000001,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
8,19.9,6.4,2.5999999999999996,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
9,7.8,2.9,5.5,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
10,6.5,0.9,0.0,"1,2,3,4,5,6,7,8,9,",
11,15.6,0.5,7.199999999999999,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
12,17.2,8.0,6.800000000000001,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
13,24.0,8.7,9.9,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
14,9.8,4.2,6.800000000000001,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
15,19.8,9.7,7.9,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
16,12.6,0.3,6.199999999999999,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
17,11.7,2.5,3.4000000000000004,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
18,18.0,4.9,9.6,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
19,11.2,8.5,0.0,"1,2,3,4,5,6,7,8,9,",
20,16.9,0.1,3.4000000000000004,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
21,15.5,0.5,7.9,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
22,6.6,4.6,1.9,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
23,8.2,3.6,6.5,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
24,24.0,8.0,7.9,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
25,8.0,6.3,0.2999999999999998,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,8,9,"
