Job ID,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,16.4,9.9,3.0999999999999996,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,3,5,6,7,8,9,10,11,12,13,14,15,17"
1,13.6,7.7,3.5999999999999996,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,3,5,6,7,8,9,10,11,12,13,14,15,17"
2,15.2,9.2,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",
3,7.8,0.4,7.699999999999999,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,3,5,6,7,8,9,10,11,12,13,14,15,17"
4,15.8,3.1,9.8,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,3,5,6,7,8,9,10,11,12,13,14,15,17"
5,9.8,6.5,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",
6,8.3,3.0,3.5,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,3,5,6,7,8,9,10,11,12,13,14,15,17"
7,6.2,7.2,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",
8,5.2,4.0,4.4,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,3,5,6,7,8,9,10,11,12,13,14,15,17"
9,17.0,1.4,9.3,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,3,5,6,7,8,9,10,11,12,13,14,15,17"
10,11.0,4.4,5.1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,3,5,6,7,8,9,10,11,12,13,14,15,17"
11,16.3,9.2,2.4000000000000004,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,3,5,6,7,8,9,10,11,12,13,14,15,17"
12,1.7,3.4,1.7999999999999998,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,3,5,6,7,8,9,10,11,12,13,14,15,17"
13,13.8,3.9,2.5,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,3,5,6,7,8,9,10,11,12,13,14,15,17"
14,12.0,0.4,8.2,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,3,5,6,7,8,9,10,11,12,13,14,15,17"
15,10.1,8.8,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",
